No.,Dataset,N_Variants,N_Max_Muts,Untrained_Performance_DCA,Untrained_Performance_ESM1v,Untrained_Performance_ProSST,Random_Split_1_DCA_hybrid,Random_Split_2_DCA_hybrid,Random_Split_3_DCA_hybrid,Random_Split_4_DCA_hybrid,Random_Split_5_DCA_hybrid,Random_Split_1_DCA+ESM1v_hybrid,Random_Split_2_DCA+ESM1v_hybrid,Random_Split_3_DCA+ESM1v_hybrid,Random_Split_4_DCA+ESM1v_hybrid,Random_Split_5_DCA+ESM1v_hybrid,Random_Split_1_DCA+ProSST_hybrid,Random_Split_2_DCA+ProSST_hybrid,Random_Split_3_DCA+ProSST_hybrid,Random_Split_4_DCA+ProSST_hybrid,Random_Split_5_DCA+ProSST_hybrid,Modulo_Split_1_DCA_hybrid,Modulo_Split_2_DCA_hybrid,Modulo_Split_3_DCA_hybrid,Modulo_Split_4_DCA_hybrid,Modulo_Split_5_DCA_hybrid,Modulo_Split_1_DCA+ESM1v_hybrid,Modulo_Split_2_DCA+ESM1v_hybrid,Modulo_Split_3_DCA+ESM1v_hybrid,Modulo_Split_4_DCA+ESM1v_hybrid,Modulo_Split_5_DCA+ESM1v_hybrid,Modulo_Split_1_DCA+ProSST_hybrid,Modulo_Split_2_DCA+ProSST_hybrid,Modulo_Split_3_DCA+ProSST_hybrid,Modulo_Split_4_DCA+ProSST_hybrid,Modulo_Split_5_DCA+ProSST_hybrid,Continuous_Split_1_DCA_hybrid,Continuous_Split_2_DCA_hybrid,Continuous_Split_3_DCA_hybrid,Continuous_Split_4_DCA_hybrid,Continuous_Split_5_DCA_hybrid,Continuous_Split_1_DCA+ESM1v_hybrid,Continuous_Split_2_DCA+ESM1v_hybrid,Continuous_Split_3_DCA+ESM1v_hybrid,Continuous_Split_4_DCA+ESM1v_hybrid,Continuous_Split_5_DCA+ESM1v_hybrid,Continuous_Split_1_DCA+ProSST_hybrid,Continuous_Split_2_DCA+ProSST_hybrid,Continuous_Split_3_DCA+ProSST_hybrid,Continuous_Split_4_DCA+ProSST_hybrid,Continuous_Split_5_DCA+ProSST_hybrid,Time_in_s
1,A0A140D2T1_ZIKV_Sourisseau_2019,9576,1,PDBseq neq WTseq
2,A0A192B1T2_9HIV1_Haddox_2018,12577,1,Sequence too long (852 > 600)
3,A0A1I9GEU1_NEIME_Kennouche_2019,922,1,0.05411293279402172,0.07207428613031318,0.047303886240045084,-0.04928669127689938,0.15119300689514967,0.014181585895217707,0.10675325522953774,0.043964778384818604,-0.017976073598702094,0.08404269181132104,0.12975434595379667,0.09925376908046603,0.06199366414985664,-0.09147130789468667,0.12552340113042965,0.09395907217962027,0.1562129322617565,0.014009561561887141,-0.05531775683408093,0.06278558972986106,0.28829339290381795,0.027646360948805508,0.0193850078174259,-0.04586957271677053,-0.04895025707415656,0.23004664930215152,0.07042057546299449,0.031186236066322367,0.038899388766534745,0.08461281450276825,0.2551439141421933,0.04250949671362989,-0.0387374167037556,0.057358026137344156,0.11698325109303387,0.17259716582253684,0.0680145887295762,0.1243874968349091,0.10476854830526693,0.06520981142700823,0.20010998626599621,0.10464943537661343,0.14307809422038859,0.07602858013619787,0.012248872587475458,0.18681501267439019,0.03459509676131014,0.18820764992567163,5474
4,A0A247D711_LISMN_Stadelmann_2021,1653,1,0.3257171454789246,0.1922849713838631,0.4683286023339054,0.425359788416616,0.4482956731636781,0.4139800340667575,0.39983529943172424,0.37945477532026367,0.6057987058523887,0.5695236533689353,0.5925738842577352,0.5631997726773084,0.5443000968386646,0.7344860026161634,0.6469789054856282,0.6511735912398791,0.6509204673814494,0.6143648037931253,0.10026340966202295,-0.050045305385736163,0.04402104411640051,-0.04977025155826621,0.1765502664331152,0.23702472477615977,0.2975087769175714,0.2425237153399762,0.36643939888658494,0.5418330566398947,0.500174535886334,0.4155296674266911,0.4742642255516514,0.42645668434508316,0.4912508608833821,0.33106297440345095,0.26049143171005745,-0.019370918896295188,0.014566511138794955,-0.15139881830894192,0.272742572212445,0.3194740996965452,0.3198733018784645,0.0954217237757609,0.20087384064978656,0.3190475140511522,0.69959970846981,0.5450796656559668,0.22032845683404303,0.33793774719352276,6466
12,AICDA_HUMAN_Gajula_2014_3cycles,209,1,0.41950521618921593,0.4075489898558927,0.274172920796004,0.4234950859543545,0.5197827298232696,0.5175785162112894,0.37714710370192484,0.36980807913773095,0.5119618908372606,0.5819758565792303,0.39193914437137345,0.44881775281082104,0.54174105341698,0.5523479230940255,0.5383742675471141,0.3619334577549017,0.5218490269980818,0.5029704170989369,0.3408436903839512,0.31987305947716743,0.5589154208553807,0.4521327174006057,0.2997591865802987,0.34687341150685796,0.18822499565539788,0.5035837398794349,0.483422578448325,0.3379680821670497,0.3411725842633825,0.20693806208392873,0.5331290701200798,0.3521994952102276,0.2913291437144539,0.12079710278373396,0.1668764022851235,0.08830287777656197,0.2659949345972696,0.7694141813746219,0.278352893833916,-0.033156426158945845,0.3086770981507823,0.1856925099433163,0.7010837094589468,0.3650215678472993,0.409148110258411,0.21041689462742094,0.3641545150746804,0.4213111058413938,1624
13,AMIE_PSEAE_Wrenbeck_2017,6227,1,0.4865220422275132,0.617273943143269,0.48233745058184774,0.6247556364864019,0.5637852711251141,0.6540784859982384,0.6341444679334964,0.6197896872164523,0.7958407070023474,0.7885790075634426,0.8131564517490826,0.8051715141591055,0.8062469765412855,0.7818339428067079,0.695958728332422,0.787700554067909,0.7622956253703456,0.7658722339243652,0.43860536134608286,0.2557034176712655,0.394611746066854,0.47660382328577866,0.4834463395388783,0.6904720593579283,0.6563703356818152,0.6406390703027633,0.7050062806610575,0.7148009219870343,0.5921369335347038,0.5559248777884879,0.5964994560266164,0.5640208292157121,0.5940987459606644,0.326936290048655,0.30714604520783967,0.4021949403637349,0.2927378676795793,0.06931987542437028,0.6355811966573056,0.6492092180261322,0.5757335774899451,0.5694597657892678,0.22771513389394565,0.56699032950344,0.5909816291276658,0.45215344827145243,0.5795435678137627,0.34215819397838965,60630
14,ARGR_ECOLI_Tsuboyama_2023_1AOY,1287,1,0.366064086686212,0.3625682795745455,0.6029023718184582,0.5988746767803351,0.46984654078265037,0.5857284754480594,0.5310816129116218,0.4778592632644194,0.7849960816888388,0.7862343385825422,0.7852178044101772,0.8359331423156259,0.8061735189657456,0.8943522293445376,0.8790074379613787,0.8356172518324132,0.8856077787078092,0.8643095081893041,0.39724437532153123,0.5446488028034597,0.4750189203947585,0.45471122497191896,0.310318171224561,0.6613641315451368,0.7752740615150877,0.7904226574806784,0.807901884060273,0.7863140897623656,0.8109382273695493,0.7995610211612624,0.8853319278173424,0.8540341039139389,0.828082572910159,0.1880208372315011,0.5540865740355319,0.22845056692482024,-0.044527449894949396,-0.12431881367962351,0.5225792631888516,0.7739677915233598,0.7266454242453707,0.3855376347592431,0.42134233866311016,0.5635257838657134,0.8480307823833785,0.8687231115737192,0.7042320761238904,0.8343639966177417,4557
