No.,Dataset,N_Variants,N_Max_Muts,Untrained_Performance_DCA,Untrained_Performance_ESM1v,Untrained_Performance_ProSST,Hybrid_DCA_Trained_Performance_100,Hybrid_DCA_ESM1v_Trained_Performance_100,Hybrid_DCA_ProSST_Trained_Performance_100,Hybrid_DCA_Trained_Performance_200,Hybrid_DCA_ESM1v_Trained_Performance_200,Hybrid_DCA_ProSST_Trained_Performance_200,Hybrid_DCA_Trained_Performance_1000,Hybrid_DCA_ESM1v_Trained_Performance_1000,Hybrid_DCA_ProSST_Trained_Performance_1000,N_Y_test,N_Y_test_100,N_Y_test_200,N_Y_test_1000,Time_in_s
1,A0A140D2T1_ZIKV_Sourisseau_2019,9576,1,0.3961484373234954,0.025321007234227765,nan,0.3962466920789638,0.36918862866614904,nan,0.39817643843460815,0.404780817067103,nan,0.3948774346709644,0.44744610735355256,nan,9576,9476,9376,8576,4093
2,A0A192B1T2_9HIV1_Haddox_2018,12577,1,0.5142308485827871,0.4818033871398063,0.4480413345511842,0.5144889233920431,0.5421536198525105,0.5927867303415645,0.5142958867048254,0.5536469294779647,0.567183575044285,0.5161799886227013,0.6807714592411145,0.6828276067140171,12577,12477,12377,11577,14289
3,A0A1I9GEU1_NEIME_Kennouche_2019,922,1,0.05411293279402172,0.07207428613031318,0.047303886240045084,0.04436729926547371,0.047295693334482,0.05651059692726319,0.05572154128455523,0.07277464537189086,0.02481927778260694,nan,nan,nan,922,822,722,nan,411
4,A0A247D711_LISMN_Stadelmann_2021,1653,1,0.4714160727397353,0.1922849713838631,0.4683286023339054,0.476375857497469,0.5209558718240999,0.5707289522844765,0.4743166350828073,0.47274314148814356,0.6075196138520484,0.4708160043288938,0.6267167213750615,0.6857368461586258,1653,1553,1453,653,955
5,A0A2Z5U3Z0_9INFA_Doud_2016,10715,1,0.1391166205539817,0.48300176044919707,0.47710377008999405,0.13900985721022857,0.49829907388992395,0.448062464935675,0.13988763896056405,0.545181356772477,0.5360628892159716,0.13984933406802288,0.6457925247934245,0.6588919187201548,10715,10615,10515,9715,7829
6,A0A2Z5U3Z0_9INFA_Wu_2014,2350,1,0.3648647777916376,0.43310916448256903,0.36612159772291447,0.36737062881228216,0.4793564176819156,0.4467589352383837,0.3690084844109014,0.4876900129124595,0.4673367163603896,0.3601933051729418,0.5098883759260421,0.4664247942897154,2350,2250,2150,1350,4412
