No.,Dataset,N_Variants,N_Max_Muts,Untrained_Performance_DCA,Untrained_Performance_ESM,Untrained_Performance_ProSST,Hybrid_DCA_Trained_Performance_100,Hybrid_DCA_ESM_Trained_Performance_100,Hybrid_DCA_ProSST_Trained_Performance_100,Hybrid_DCA_ESM_ProSST_Trained_Performance_100,Hybrid_DCA_Trained_Performance_200,Hybrid_DCA_ESM_Trained_Performance_200,Hybrid_DCA_ProSST_Trained_Performance_200,Hybrid_DCA_ESM_ProSST_Trained_Performance_200,Hybrid_DCA_Trained_Performance_1000,Hybrid_DCA_ESM_Trained_Performance_1000,Hybrid_DCA_ProSST_Trained_Performance_1000,Hybrid_DCA_ESM_ProSST_Trained_Performance_1000,N_Y_test,N_Y_test_100,N_Y_test_200,N_Y_test_1000,Time_in_s
1,A0A140D2T1_ZIKV_Sourisseau_2019,9576,1,0.3961492407271782,0.0184084777893126,0.24017688620077893,0.4028991785561766,0.3854588400119798,0.4409103576436786,0.4253663510813157,0.40607567181947973,0.40606033946250736,0.4372260805157926,0.42639401932183923,0.43978234005744077,0.45270430207648005,0.47337696256647316,0.4812903657817363,9576,9476,9376,8576,3517
2,A0A192B1T2_9HIV1_Haddox_2018,12577,1,0.5142754318301384,-0.0693940029865442,0.44804046800593994,0.5145339051807217,0.4372591185736556,0.5906355509476016,0.5784798980618547,0.5469545780043779,0.5494687522929561,0.6263648015455329,0.6342785184664524,0.6027685233238784,0.6319344776906413,0.6970859360305245,0.6981100518807482,12577,12477,12377,11577,6619
3,A0A1I9GEU1_NEIME_Kennouche_2019,922,1,0.05411293279402172,0.012344758067333643,0.047303886240045084,0.06080451232809677,0.04312946218052107,0.08812405062230785,0.08607871193204951,0.051534157601211605,0.06372832961660072,0.07138030896610463,0.08036895475422617,nan,nan,nan,nan,922,822,722,nan,211
4,A0A247D711_LISMN_Stadelmann_2021,1653,1,0.4780333927868109,-0.059733691156471196,0.46832874017791637,0.5483338369999332,0.5354026888828333,0.5879606786564437,0.5793678525249528,0.5385807768396333,0.5343980966186404,0.6091433716739327,0.6106825116704006,0.6301864289802499,0.6552070560135461,0.6673490435597552,0.6704163995935803,1653,1553,1453,653,505
5,A0A2Z5U3Z0_9INFA_Doud_2016,10715,1,0.13937211767442073,-0.020927188515036155,0.4771038162441226,0.21867387620069328,0.3012331474419003,0.5385181303282935,0.5362335495225824,0.27430917416392137,0.41458640734739893,0.5825678251278765,0.5747667381723961,0.501270756866099,0.5892289036838187,0.6858719333676672,0.6812826270856256,10715,10615,10515,9715,4294
6,A0A2Z5U3Z0_9INFA_Wu_2014,2350,1,0.36501319970615403,0.028177084057399847,0.36611873319348337,0.38442808427141234,0.38330032612886783,0.4556091972862734,0.45507974726411093,0.3690476924645574,0.3705840057724531,0.4748879302943135,0.3640914311689248,0.4321797339725794,0.44355999168098076,0.5115569000837209,0.509364301545098,2350,2250,2150,1350,1000
7,A4D664_9INFA_Soh_2019,14421,1,-0.10894376929442899,0.035333419605063726,0.29596097016487705,-0.04207145469592609,0.20043211715105105,0.37971777558265435,0.356811406706511,0.04132528957579523,0.3576103568779257,0.4460478361812712,0.45580969111077596,0.41560623886280457,0.5459750016034609,0.5992078318428551,0.5844282256603117,14421,14321,14221,13421,7394
8,A4GRB6_PSEAI_Chen_2020,5004,1,0.6681054558274875,0.030720014487805543,0.6473521577920498,0.6749621251555536,0.685031058349105,0.7429261145222155,0.7465888076273381,0.7020973515701049,0.730086476487147,0.7601239765028208,0.7576805924442863,0.7307858088146555,0.7661683431328108,0.8246255499270795,0.8145290475396828,5004,4904,4804,4004,2796
9,AACC1_PSEAI_Dandage_2018,1801,1,0.3180712414525488,0.07473715333748807,0.368532985214432,0.31903154410021367,0.3554642002588779,0.4472525554706165,0.3925484736914167,0.33953255753164496,0.38167574951814687,0.5103138725550115,0.5248651405582662,0.4254458977420993,0.5550207813798835,0.6142227296926224,0.6062903602417177,1801,1701,1601,801,868
10,ACE2_HUMAN_Chan_2020,2223,1,0.24320676071866032,-0.01056181987872279,0.26130634027198485,0.3299332312526662,0.4590797010946499,0.42596570492851177,0.4645688088287653,0.3576009271440716,0.455828841871451,0.4239893031662952,0.4709034562089576,0.5446359892678856,0.5775913809069523,0.6461030089738093,0.6321449571781907,2223,2123,2023,1223,1734
11,ADRB2_HUMAN_Jones_2020,7800,1,0.5187856047925657,0.0448835686726957,0.5151672025706439,0.5183272590334468,0.5310170758758546,0.5493850648480286,0.5479806902358676,0.5180447014741961,0.5278868292570436,0.5603100139651283,0.5645553621396632,0.5211692736866321,0.5281982127383594,0.5616926793186132,0.5516931843053939,7800,7700,7600,6800,4751
12,AICDA_HUMAN_Gajula_2014_3cycles,209,1,0.41950521618921593,0.12199424626898439,0.274172920796004,0.480409727683659,0.49601786617111754,0.3994159343673702,0.42768537385960803,nan,nan,nan,nan,nan,nan,nan,nan,209,109,nan,nan,47
13,AMIE_PSEAE_Wrenbeck_2017,6227,1,0.4865220756767102,0.034563494094000814,0.4823372606221275,0.4894170773269533,0.4650037900226221,0.5914683646662334,0.5675311173058243,0.5026728163706786,0.5291375474980041,0.5892871532899728,0.6014893402370859,0.536474833931843,0.65105114855999,0.6991973490455363,0.6949174424660216,6227,6127,6027,5227,3376
